label,filename,GLCM_Energy,GLCM_Homogeneity,GLCM_Contrast,GLCM_Correlation,RGB_mean_1,RGB_std_1,RGB_mean_2,RGB_std_2,RGB_mean_3,RGB_std_3,HSV_mean_1,HSV_std_1,HSV_mean_2,HSV_std_2,HSV_mean_3,HSV_std_3,YCbCr_mean_1,YCbCr_std_1,YCbCr_mean_2,YCbCr_std_2,YCbCr_mean_3,YCbCr_std_3
malignant,M_400_mask.jpg,0.7000132830200189,0.9170681765110547,1587.7456793613492,0.9370195044567943,187.63212709620475,112.30168322788731,187.63212709620475,112.30168322788731,187.63212709620475,112.30168322788731,0.0,0.0,0.0,0.0,187.63212709620475,112.30168322788731,187.63212709620475,112.30168322788731,128.0,0.0,128.0,0.0
malignant,M_401.jpg,0.011664216316878504,0.11944059325419129,256.23881078108855,0.9576909299668211,129.50141784978354,53.7789223475908,152.1033517968883,57.77070138338131,162.04854717658847,52.253524337912836,26.294553566364822,27.037059062200257,63.3619486927425,39.207754979816,164.9451670227045,54.86643008207145,152.50023630829725,55.020847076390055,134.82336427396638,7.939640225732815,114.99421517288314,6.729555737736352
malignant,M_401_mask.jpg,0.5127235462035886,0.7846817430812287,4359.262916939177,0.8629997476624115,143.90133909153047,126.14957398640728,143.90133909153047,126.14957398640728,143.90133909153047,126.14957398640728,0.0,0.0,0.0,0.0,143.90133909153047,126.14957398640728,143.90133909153047,126.14957398640728,128.0,0.0,128.0,0.0
malignant,M_402.jpg,0.011548191935429794,0.11310439120837314,192.76746376811596,0.9620055782925884,137.45352303523035,50.62636179269746,146.71027100271002,54.80982235159881,154.26775971093045,43.76435217776416,64.94276422764227,64.62906202415728,42.18792231255646,29.136919348567883,159.08084914182476,47.33737094884459,147.920108401084,50.38744336049806,132.53170731707317,8.782848372843116,122.09661246612467,6.413522954728488
malignant,M_402_mask.jpg,0.494346394413076,0.7734318950088417,4794.5876221278895,0.8518300353805279,127.87183341066974,127.19887230459685,127.87183341066974,127.19887230459685,127.87183341066974,127.19887230459685,0.0,0.0,0.0,0.0,127.87183341066974,127.19887230459685,127.87183341066974,127.19887230459685,128.0,0.0,128.0,0.0
malignant,M_403.jpg,0.012240719595782358,0.12204146070759725,225.14059405940594,0.9474114590604786,131.39204912896352,48.760320026363765,135.5175836570999,47.192456879683206,174.70033838826922,45.54704417822741,78.2794736182479,81.94610096652336,76.34190249404688,33.41522362053327,175.18598320591553,45.60872795548817,146.77497932071688,46.252411648097,147.9521744579521,6.274570550250291,119.30844968041107,8.111317179693506
malignant,M_403_mask.jpg,0.5061645712275651,0.7665690869526771,4905.149585101366,0.8415666087739578,153.83189482843773,124.43298161982835,153.83189482843773,124.43298161982835,153.83189482843773,124.43298161982835,0.0,0.0,0.0,0.0,153.83189482843773,124.43298161982835,153.83189482843773,124.43298161982835,128.0,0.0,128.0,0.0
malignant,M_404.jpg,0.011834210983232382,0.1185569892303463,224.73165884166107,0.955540051032133,126.48406225514638,51.94264603752309,148.20215708621222,51.02529928925185,165.00601301137308,49.900640105375906,30.68724030676449,45.0405876727303,68.04412707457796,40.56425950600662,165.49290072892182,50.304577614158134,150.75409573331433,50.296216718294616,138.18558420590261,5.360316969756084,114.28151340313887,8.33330209126183
malignant,M_404_mask.jpg,0.5413099612891354,0.7847371163238349,4287.513076387525,0.8542329109315947,165.8567680509058,121.29110914045889,165.8567680509058,121.29110914045889,165.8567680509058,121.29110914045889,0.0,0.0,0.0,0.0,165.8567680509058,121.29110914045889,165.8567680509058,121.29110914045889,128.0,0.0,128.0,0.0
malignant,M_405.jpg,0.015271289734963549,0.1500013372142476,171.51826211045974,0.9479695384793997,136.51549030172413,44.743143736794075,150.93315116995075,40.62357537459558,177.95078702278326,40.556600275759074,41.806881157635466,64.30951564070081,65.30359067118226,34.3148956038915,177.96244323429804,40.57325046834729,157.3697130926724,40.62995904744157,142.70125846674875,4.759681396577556,116.21043238146552,7.010932967486698
malignant,M_405_mask.jpg,0.4876656481550951,0.7569828162171753,5826.42481581235,0.8183703308375123,139.1246222576331,126.65271505087166,139.1246222576331,126.65271505087166,139.1246222576331,126.65271505087166,0.0,0.0,0.0,0.0,139.1246222576331,126.65271505087166,139.1246222576331,126.65271505087166,128.0,0.0,128.0,0.0
malignant,M_406.jpg,0.014058486193413083,0.12780870285338822,239.51722025749487,0.9523925217138468,115.24092593766751,48.445894050065256,135.72698557257232,49.57388634321087,193.84064119338979,53.39992834687934,7.939800217881249,6.606407406019432,112.07847183394912,41.371501370269,193.84112537394302,53.39831820268987,150.78511605923143,50.204386779846246,158.75268172621895,6.051548089931148,107.9437716512286,5.711449302860746
malignant,M_406_mask.jpg,0.6285664625633498,0.829735721023076,3379.9193705417383,0.8682741697332658,185.45632146325983,113.30940400053794,185.45632146325983,113.30940400053794,185.45632146325983,113.30940400053794,0.0,0.0,0.0,0.0,185.45632146325983,113.30940400053794,185.45632146325983,113.30940400053794,128.0,0.0,128.0,0.0
malignant,M_407.jpg,0.013582079714968116,0.129447811106836,236.3826325381319,0.941176386750877,108.346459595277,42.948990367854336,137.6348646623008,46.58293255836817,175.84675242764175,45.24998646179705,13.514737863839093,8.087315036227393,105.5788947728399,37.28808224874471,175.8467810965446,45.25001475260783,145.73247818091716,44.83545951939408,149.50424094984172,8.704983179103447,106.90285747050174,6.086313138977817
malignant,M_407_mask.jpg,0.583991353112871,0.801398881275847,4132.987304414927,0.8472468691123486,179.09898962595273,116.30289867468379,179.09898962595273,116.30289867468379,179.09898962595273,116.30289867468379,0.0,0.0,0.0,0.0,179.09898962595273,116.30289867468379,179.09898962595273,116.30289867468379,128.0,0.0,128.0,0.0
malignant,M_408.jpg,0.011338063935218459,0.11664572301684716,284.51172069234957,0.9418177425128994,113.86657661773044,49.9344082753153,133.10566441938127,52.55101907307166,186.99496723583894,46.53990858781423,9.370652447860879,12.176454379161624,108.01791396257325,43.23646575344125,186.99632978388254,46.54153102094048,147.0369187511814,49.49572548968561,156.54107727931446,10.520123684763131,109.27044609665427,5.006075338335438
